RMs,LMs,UMs,Class
1.204633,1.20565,1.461621,Backpack
1.200583,1.208181,1.467245,Backpack
1.19995,1.210431,1.465234,Backpack
1.202269,1.208841,1.465032,Backpack
1.201426,1.209157,1.461172,Backpack
1.208828,1.211234,1.464701,Backpack
1.208307,1.212935,1.46362,Backpack
1.204801,1.209165,1.462797,Backpack
1.206335,1.20538,1.46614,Backpack
1.200106,1.212181,1.461734,Backpack
1.20485,1.207126,1.462975,Backpack
1.201462,1.20518,1.456282,Backpack
1.204379,1.212317,1.456041,Backpack
1.207317,1.211231,1.424503,Backpack
1.199682,1.207607,1.430241,Backpack
1.203029,1.205953,1.424464,Backpack
1.209332,1.208466,1.424002,Backpack
1.205242,1.213103,1.422656,Backpack
1.201435,1.20753,1.422297,Backpack
1.208355,1.2069,1.454339,Backpack
1.202484,1.208173,1.457138,Backpack
1.203496,1.209307,1.451543,Backpack
1.208941,1.212758,1.458233,Backpack
1.208807,1.208136,1.454069,Backpack
1.201201,1.203347,1.454117,Backpack
1.204713,1.209016,1.455915,Backpack
1.204018,1.209661,1.45849,Backpack
1.209141,1.208233,1.457854,Backpack
1.200941,1.206291,1.454461,Backpack
1.202422,1.207318,1.456817,Backpack
1.2007,1.208821,1.449939,Backpack
1.204513,1.206107,1.456329,Backpack
1.204506,1.212704,1.455317,Backpack
1.205612,1.210255,1.452348,Backpack
1.200144,1.205805,1.453046,Backpack
1.204189,1.209086,1.445652,Backpack
1.207949,1.205029,1.44529,Backpack
1.203702,1.207148,1.450187,Backpack
1.206169,1.210251,1.444457,Backpack
1.200889,1.204146,1.45195,Backpack
1.209432,1.209081,1.44702,Backpack
1.201985,1.204386,1.444608,Backpack
1.201456,1.209632,1.443605,Backpack
1.200155,1.206539,1.446458,Backpack
1.208361,1.204622,1.449912,Backpack
1.206219,1.207559,1.446057,Backpack
1.203802,1.205222,1.445274,Backpack
1.208767,1.20477,1.440686,Backpack
1.201476,1.208165,1.4453,Backpack
1.201527,1.205902,1.445621,Backpack
1.208445,1.20933,1.441244,Backpack
1.209496,1.204547,1.442987,Backpack
1.206502,1.208489,1.439845,Backpack
1.200048,1.207703,1.394878,Backpack
1.201294,1.209934,1.392069,Backpack
1.209072,1.205329,1.397459,Backpack
1.200199,1.212882,1.403969,Backpack
1.206805,1.21263,1.408787,Backpack
1.203527,1.205845,1.40248,Backpack
1.203628,1.207292,1.409626,Backpack
1.204549,1.209419,1.412856,Backpack
1.206376,1.206628,1.433954,Backpack
1.207263,1.20377,1.442332,Backpack
1.208296,1.205087,1.435323,Backpack
1.206676,1.209489,1.442408,Backpack
1.201284,1.20821,1.439898,Backpack
1.205942,1.209348,1.435199,Backpack
1.202053,1.212983,1.439368,Backpack
1.202866,1.2098,1.432968,Backpack
1.201472,1.211976,1.440236,Backpack
1.203077,1.209433,1.437973,Backpack
1.202522,1.204935,1.439012,Backpack
1.208396,1.211783,1.43601,Backpack
1.207442,1.216275,1.440639,Backpack
1.214639,1.213771,1.442594,Backpack
1.213977,1.219911,1.44327,Backpack
1.215542,1.22235,1.446856,Backpack
1.263403,1.264715,1.451414,Backpack
1.26261,1.26214,1.455479,Backpack
1.286558,1.295695,1.457703,Backpack
1.288678,1.2869,1.462302,Backpack
1.31665,1.320583,1.473585,Backpack
1.31545,1.318241,1.468338,Backpack
1.366133,1.373538,1.478561,Backpack
1.368894,1.376668,1.476153,Backpack
1.359997,1.36379,1.490047,Backpack
1.36511,1.367576,1.491726,Backpack
1.35147,1.353116,1.504272,Backpack
1.354479,1.358379,1.500461,Backpack
1.332827,1.333877,1.544001,Backpack
1.3292,1.329933,1.539649,Backpack
1.305893,1.315123,1.612324,Backpack
1.307635,1.31109,1.604228,Backpack
1.306859,1.308612,1.608888,Backpack
1.309329,1.313599,1.611483,Backpack
1.313037,1.316741,1.775204,Backpack
1.312296,1.31899,1.779257,Backpack
1.497093,1.520375,1.913553,Backpack
1.498014,1.513703,1.909917,Backpack
