RMs,LMs,UMs,Class
1.859404,1.924027,1.957438,AK-47
1.86427,1.917491,1.964129,AK-47
1.859682,1.924495,1.963233,AK-47
1.833856,1.925211,1.959623,AK-47
1.840513,1.918425,1.964287,AK-47
1.78896,1.919018,1.960112,AK-47
1.782529,1.919312,1.96001,AK-47
1.710002,1.918546,1.960341,AK-47
1.710249,1.921839,1.960156,AK-47
1.697483,1.927652,1.961967,AK-47
1.696658,1.926372,1.962716,AK-47
1.700966,1.929802,1.964255,AK-47
1.704048,1.943304,1.963736,AK-47
1.70159,1.941955,1.963122,AK-47
1.706642,1.952091,1.953919,AK-47
1.711185,1.95253,1.962056,AK-47
1.707886,1.951791,1.958032,AK-47
1.702988,1.95516,1.960416,AK-47
1.706662,1.984728,1.96456,AK-47
1.918865,1.991056,1.96721,AK-47
1.917113,1.992649,1.958538,AK-47
1.911432,1.991516,1.961108,AK-47
1.917906,1.995155,1.967631,AK-47
1.91147,1.997284,1.972134,AK-47
1.912401,2.000716,1.966771,AK-47
1.905091,1.99529,1.975706,AK-47
1.907235,1.997163,1.976662,AK-47
1.897125,1.996182,1.967367,AK-47
1.898748,2.008577,1.972916,AK-47
1.897727,2.000353,1.971825,AK-47
1.896712,2.001594,1.966212,AK-47
1.898948,2.002429,1.9719,AK-47
1.893111,2.010593,1.972796,AK-47
1.88274,2.014122,1.971128,AK-47
1.882552,2.013614,1.973869,AK-47
1.884211,2.012077,1.973078,AK-47
1.887153,2.014037,1.965865,AK-47
1.875477,2.007517,1.973093,AK-47
1.879988,2.001557,1.964711,AK-47
1.873247,2.001489,1.966247,AK-47
1.874141,1.994771,1.972875,AK-47
1.868911,2.000099,1.968313,AK-47
1.869082,1.998989,1.969074,AK-47
1.87115,1.99221,1.967996,AK-47
1.865708,1.998858,1.970626,AK-47
1.863678,1.990695,1.966751,AK-47
1.858794,1.996954,1.968099,AK-47
1.860979,1.997883,1.963258,AK-47
1.860858,1.990371,1.962846,AK-47
1.849373,1.993034,1.971503,AK-47
1.850006,1.990578,1.970774,AK-47
1.846911,1.995174,1.972358,AK-47
1.850052,1.990399,1.972092,AK-47
1.84613,1.992808,1.97006,AK-47
1.849091,1.994125,1.963073,AK-47
1.844854,1.990604,1.972073,AK-47
1.838809,1.99072,1.967961,AK-47
1.843567,1.99282,1.963166,AK-47
1.839942,1.995254,1.970527,AK-47
1.828012,1.991966,1.965468,AK-47
1.829765,1.989,1.972199,AK-47
1.825606,1.990274,1.966874,AK-47
1.824284,1.989221,1.970962,AK-47
1.821732,1.99228,1.962881,AK-47
1.824295,1.992547,1.965735,AK-47
1.823456,1.996445,2.5,AK-47
1.81904,1.996652,2.5,AK-47
1.814908,1.988737,2.5,AK-47
1.815877,1.994569,2.5,AK-47
1.814573,1.99131,2.5,AK-47
1.807044,1.993913,2.5,AK-47
1.811472,1.992167,2.5,AK-47
1.802371,1.990451,2.5,AK-47
1.804732,1.993246,2.5,AK-47
1.803938,1.99277,2.5,AK-47
1.796424,1.992756,2.5,AK-47
1.801071,1.99604,2.5,AK-47
1.798743,1.989012,2.5,AK-47
1.796644,1.988727,2.5,AK-47
1.797589,1.996228,2.5,AK-47
