RMs,LMs,UMs,Class
1.895273,1.96575,1.957529,Shotgun
1.886338,1.958467,1.950713,Shotgun
1.891869,1.957963,1.957458,Shotgun
1.893031,1.965819,1.953399,Shotgun
1.888166,1.964052,1.949474,Shotgun
1.89241,1.96094,1.95657,Shotgun
1.879584,1.958019,1.949859,Shotgun
1.888216,1.96346,1.949393,Shotgun
1.869927,1.96159,1.949352,Shotgun
1.874693,1.960781,1.956882,Shotgun
1.86448,1.95967,1.953831,Shotgun
1.859954,1.961529,1.949318,Shotgun
1.834961,1.960249,1.954365,Shotgun
1.833256,1.945422,1.955298,Shotgun
1.826757,1.949402,1.950435,Shotgun
1.820398,1.948295,1.952803,Shotgun
1.814387,1.951228,1.951818,Shotgun
1.814237,1.950613,1.949795,Shotgun
1.820421,1.951405,1.956026,Shotgun
1.813343,1.951084,1.955305,Shotgun
1.811707,1.9456,1.953458,Shotgun
1.818729,1.953904,1.948997,Shotgun
1.814587,1.94554,1.951097,Shotgun
1.816384,1.920868,1.954266,Shotgun
1.818572,1.921437,1.954709,Shotgun
1.823588,1.951943,1.955239,Shotgun
1.827238,1.944403,1.956397,Shotgun
1.828534,1.957973,1.953405,Shotgun
1.816609,1.964444,1.95376,Shotgun
1.819683,1.961651,1.954106,Shotgun
1.806798,1.967232,1.950714,Shotgun
1.807049,1.973134,1.954671,Shotgun
1.759959,1.973425,1.961699,Shotgun
1.75894,1.981182,1.955395,Shotgun
1.625214,1.98054,1.964261,Shotgun
1.626998,1.996816,1.957644,Shotgun
1.616095,1.990916,2.5,Shotgun
1.620054,1.999061,2.5,Shotgun
1.626009,1.997178,2.5,Shotgun
1.625612,2.005753,2.5,Shotgun
1.623008,2.007025,2.5,Shotgun
1.624303,2.018528,2.5,Shotgun
1.625438,2.018386,2.5,Shotgun
1.631771,2.04486,2.5,Shotgun
1.626523,2.048257,2.5,Shotgun
1.633229,2.048777,2.5,Shotgun
1.637588,2.04831,2.5,Shotgun
1.631843,2.058961,2.5,Shotgun
1.6378,2.05505,2.5,Shotgun
1.634482,2.058563,2.5,Shotgun
1.637825,2.057875,2.5,Shotgun
1.640657,2.065941,2.5,Shotgun
1.882078,2.067579,2.5,Shotgun
1.879715,2.073816,2.5,Shotgun
1.88178,2.072639,2.5,Shotgun
1.879328,2.079392,2.5,Shotgun
1.871946,2.078329,2.5,Shotgun
1.8702,2.080212,2.5,Shotgun
1.872361,2.079329,2.5,Shotgun
1.867685,2.081372,2.5,Shotgun
1.864338,2.083587,2.5,Shotgun
1.862271,2.088727,2.5,Shotgun
1.861285,2.093442,2.5,Shotgun
1.858964,2.097467,2.5,Shotgun
1.853117,2.098478,2.5,Shotgun
1.856189,2.025652,2.5,Shotgun
1.851385,2.024861,2.5,Shotgun
1.84941,2.027189,2.5,Shotgun
1.83911,2.026403,2.5,Shotgun
1.841106,2.028474,2.5,Shotgun
1.83849,2.027485,2.5,Shotgun
1.837692,2.026053,2.5,Shotgun
1.82565,2.028182,2.5,Shotgun
1.82741,2.03515,2.5,Shotgun
1.824531,2.027684,2.5,Shotgun
1.816772,2.035893,2.5,Shotgun
1.816089,2.038776,2.5,Shotgun
1.816446,2.032176,2.5,Shotgun
1.811601,2.034683,2.5,Shotgun
1.806948,2.042358,2.5,Shotgun
1.806608,2.038448,2.5,Shotgun
1.81261,2.039902,2.5,Shotgun
1.799633,2.034482,2.5,Shotgun
1.801074,2.044035,2.5,Shotgun
1.798355,2.045193,2.5,Shotgun
1.795071,2.047326,2.5,Shotgun
1.795515,2.045341,2.5,Shotgun
1.791306,2.04322,2.5,Shotgun
1.783768,2.044782,2.5,Shotgun
1.786599,2.046753,2.5,Shotgun
1.784472,2.051823,2.5,Shotgun
1.781255,2.049042,2.5,Shotgun
1.776082,2.047161,2.5,Shotgun
1.775316,2.048732,2.5,Shotgun
1.772873,2.048318,2.5,Shotgun
1.77304,2.057455,2.5,Shotgun
1.76149,2.057085,2.5,Shotgun
1.767145,2.055603,2.5,Shotgun
1.760905,2.056864,2.5,Shotgun
1.759921,2.052641,2.5,Shotgun
1.757321,2.054271,2.5,Shotgun
1.754204,2.055468,2.5,Shotgun
1.747455,2.054723,2.5,Shotgun
1.75421,2.057242,2.5,Shotgun
1.743668,2.056095,2.5,Shotgun
1.749079,2.06206,2.5,Shotgun
1.74705,2.065269,2.5,Shotgun
1.738478,2.066137,2.5,Shotgun
1.7316,2.068457,2.5,Shotgun
1.732448,2.070058,2.5,Shotgun
1.710765,2.069797,2.5,Shotgun
1.709209,2.069666,2.5,Shotgun
1.636994,2.068958,2.5,Shotgun
1.639138,2.070023,2.5,Shotgun
1.633075,2.077051,2.5,Shotgun
1.633333,2.069388,2.5,Shotgun
1.628293,2.078554,2.5,Shotgun
1.625494,2.074542,2.5,Shotgun
1.621781,2.076772,2.5,Shotgun
1.624224,2.077533,2.5,Shotgun
1.614321,2.080132,2.5,Shotgun
1.610092,2.08179,2.5,Shotgun
1.60784,2.082727,2.5,Shotgun
1.609629,2.085453,2.5,Shotgun
1.680601,2.079208,2.5,Shotgun
1.683473,2.077656,2.5,Shotgun
1.742345,2.079249,2.5,Shotgun
1.743365,2.078479,2.5,Shotgun
