RMs,LMs,UMs,Class
0.1883542,0.1910937,0.4143083,Laptop
0.1923736,0.1914794,0.4082916,Laptop
0.1949483,0.1870999,0.4131547,Laptop
0.1938425,0.1909018,0.4113109,Laptop
0.1919656,0.1905132,0.4165244,Laptop
0.1941717,0.1877441,0.4169526,Laptop
0.1932413,0.1937283,0.4137739,Laptop
0.190097,0.1934531,0.4145017,Laptop
0.1931674,0.1854346,0.4138314,Laptop
0.1868014,0.1857962,0.4083501,Laptop
0.1934303,0.1886632,0.4079982,Laptop
0.1923036,0.1940795,0.4115251,Laptop
0.1902962,0.1924434,0.4110085,Laptop
0.1900449,0.191524,0.4152627,Laptop
0.1869022,0.187478,0.4071877,Laptop
0.1901417,0.1888537,0.4109106,Laptop
0.189027,0.1933717,0.4101666,Laptop
0.1902122,0.1871163,0.4096805,Laptop
0.1914751,0.1915044,0.4097151,Laptop
